"NovaPontoCom_apiId not defined", "NovaPontoCom_apiId não definida"
"It was not possible to recover data from order with novaPontoCom_apiId", "Não foi possível recuperar os dados do pedido com novaPontoCom_apiId"
"Order canceled on IntegracaoExtraPontoCom", "Pedido cancelado na Integração Extra.com"
"Order canceled on novaPontoCom", "Pedido cancelado na Integração Extra.com"
"ShipmentId not defined", "ShipmentId não definido"
"Deliver items not defined", "Items para envio não definidos"
"It was not possible to recover shipment collection from order with novaPontoCom_apiId", "Não foi possível recuperar todos os envios do pedido com novaPontoCom_apiId" 
"It was not possible to recover the last shipment from order with novaPontoCom_apiId", "Não foi possível recuperar o último envio do pedido com novaPontoCom_apiId"
"It was not possible to load product with id", "Não foi possível carregar o produto com id"
"There are no items in last shipment", "Não existem itens no último envio"
"Loading product by attribute novaPontoCom_apiId was not possible","Não foi possível carregar o produto usando o atributo novaPontoCom_apiId"
"Loading product by id was not possible", "Não foi possível carregar o produto pelo id"
"It was not possible to recover stock information from product","Não foi possível recuperar informação sobre o estoque do produto"
"It was not possible to get and invoiceId","Não foi possível criar um invoiceId"
"It was not possible to create invoice do order","Não possível criar uma fatura para o pedido"
"Search location was not defined on order","Local de procurar não foi definido"
"Order was not recovered by observer","Observer não conseguiu recuperar informações do pedido"
"was delivered","foi entregue"
"Order","Pedido"
"Order could not be delivered please verify novaPontoCom log","Pedido não pode ser enviado, verifique o log"
"Items tracking created at novaPontoCom", "Tracking dos produtos criado na Integração Extra.com"
"Items tracking could not be created:","Tracking dos produtos não pode ser criado:"
"Parameter id was not receveid", "Parâmetro id não foi recebido"
"Orders", "Pedidos"
"was delivered","foi entregue"
"Order","Pedido"
"Order could not be delivered:","Pedido não pode ser enviado:"
"Items tracking created at novaPontoCom", "Tracking dos produtos criado na Integração Extra.com"
"Active","Ativo"
"Inactive","Inativo"
" (running)"," (executando)"
" (waiting)"," (em espera)"
"Active (running)","Ativo (executando)"
"Active (waiting)","Ativo (em espera)"
"Test Data Window","Janela de Teste de Dados"
"Extra.com Status","Status Extra.com"
"Action","Ação"
"Consult load","Consultar carregamento"
"Send as new","Enviar como novo"
"Associate Product","Associar produto"
"Associate","Associar"
"Get API SKU","Solicitar SKU da API"
"Synchronize","Sincronizar"
"Update Status","Atualizar status"
"Recently sent","Enviado recentemente"
"Waiting dispatch","Aguardando envio"
"Not loaded","Não carregado"
"Loaded","Carregado"
"Validating","Em validação"
"Importer Info ID","ID de importação"
"API SKU","SKU da API"
"Subject","Assunto"
"Item Information","Informação do Item"
"Logs","Mensagens"
"Description","Descrição"
"Action","Ação"
"Tickets","Chamados"
"Customer with ID %d does not exists.","Não existe cliente com o ID %d."
"First Name","Primeiro Nome"
"Last Name","Último Nome"
"Cel Phone","Celular"
"Company","Empresa"
"Street","Rua"
"Number","Número"
"Complement","Complemento"
"District","Bairro"
"Item does not exist","Item não existe"
"Item was successfully saved","Item salvo com sucesso"
"Unable to find item to save","Não foi possível encontrar o item a ser salvo"
"Item was successfully deleted","Item deletado com sucesso"
"Please select item(s)","Por favor selecione o item"
"Total of %d record(s) were successfully deleted","%d itens foram excluídos"
"Product %d could not be loaded.","Produto %d não carregado."
"Product %d already exists on NovaPontoCom API.","Produto %d já existe na API."
"Could not consult product %d: ","Não foi possível encontrar o produto %d"
"Product successfully associated.","Produto associado com sucesso."
"Error trying to associate product: ","Erro ao tentar associar produto: "
"Product not found.","Produto não encontrado."
"Product successfully sent.","Produto enviado com sucesso."
"Error trying to send product: ","Erro ao tentar enviar produto: "
"Product not sent to API yet.","Produto ainda não envido para a API."
"Product Status updated successfully.","Status do produto atualizado com sucesso."
"Error trying to update product: ","Erro ao tentar atualizar o produto: "
"API SKU updated.","SKU da API atualizado."
"Error trying to get API SKU: ","Erro ao tentar obter o SKU da API: "
"Product API SKU not found.","Não foi encontrado do atributo SKU da API do produto."
"Could not update product: ","Não foi possível atualizar o produto: "
"Synchronize with Extra.com","Sincronizar com Extra.com"
"Sent to Extra.com API","Enviar para a API do Extra.com"
"missing 'search string' parameter.","parâmetro 'search string' não encontrado"
